"num.claims" "av.claimsize"
"1340" 3 1.07657333333333
"1341" 1 0.54001
"1342" 1 3
"1343" 1 2.50284
"1350" 1 0.47953
"1352" 6 2.86589833333333
"1353" 1 0.313
"1356" 1 3.50171
"1357" 1 4.1
"1358" 4 1.0744325
"1360" 1 0.15705
"1366" 4 2.6961075
"1367" 2 4.24942
"1368" 3 1.05381
"1369" 2 4
"1376" 5 1.36747
"1377" 1 5.92836
"1378" 1 0.37052
"1380" 1 5.8
"1382" 1 3.80421
"1383" 1 6.9052
"1384" 1 3.78866
"1385" 2 0.28536
"1386" 2 6.34128
"1389" 7 1.88664571428571
"1390" 2 2.757355
"1391" 1 6.25
"1392" 3 1.8823
"1399" 1 3.9
"1400" 4 1.3331225
"1401" 1 4.69736
"1403" 2 4.424
"1405" 2 5.511655
"1410" 5 1.515686
"1412" 5 0.474406
"1413" 2 5.225
"1417" 1 1.04688
"1418" 3 1.61424666666667
"1419" 1 4.14296
"1420" 2 1.4326
"1421" 1 3.22428
"1425" 1 1.56919
"1426" 1 1.05298
"1428" 4 2.784245
"1429" 2 1.522875
"1435" 1 0.48316
"1436" 1 2.2
"1437" 1 7.4792
"1441" 2 1.795315
"1448" 3 5.23515333333333
"1449" 1 0.64262
"1455" 2 3.777045
"1456" 1 5.2
"1457" 1 0.74104
"1459" 2 5.741075
"1462" 2 2.623565
"1468" 2 3.09783
"1469" 2 2.44597
"1470" 1 7.21944
"1472" 1 5.36617
"1475" 3 0.24494
"1476" 2 3.96329
"1479" 2 3.723605
"1480" 2 0.510405
"1483" 1 2.59104
"1485" 2 5.14725
"1486" 2 1.707205
"1489" 1 3.2
"1491" 3 1.89069333333333
"1492" 1 0.54428
"1493" 4 2.7281825
"1494" 1 6.65
"1496" 1 0.02849
"1498" 2 0.284185
"1499" 1 3.65
"1505" 1 0.09764
"1510" 2 0.581835
"1513" 3 2.45682
"1515" 2 2.239
"1522" 4 2.688915
"1524" 1 0.51641
"1529" 5 1.269048
"1532" 2 0.518895
"1534" 1 0.8
"1537" 6 2.79562333333333
"1538" 1 12.51608
"1539" 2 4.75976
"1543" 1 0.60161
"1545" 2 1.651
"1547" 2 2.05715
"1548" 1 3.2
"1550" 2 3.385975
"1552" 2 1.93763
"1553" 1 3.6253
"1555" 1 0.1778
"1556" 3 3.47234666666667
"1558" 2 0.297865
"1561" 2 0.13185
"1563" 2 0.355
"1566" 1 4.00819
"1569" 1 1.11622
"1570" 1 0.34002
"1571" 1 0.035
"1572" 2 3.24268
"1576" 4 3.987275
"1580" 1 3.67906
"1582" 1 6.89266
"1584" 1 4.85
"1586" 1 0.20604
"1589" 2 1.95595
"1591" 1 0.174
"1592" 1 6.16748
"1595" 4 1.22995
"1596" 1 5.75
"1597" 3 1.54752333333333
"1600" 1 0.87849
"1602" 2 1.88166
"1603" 1 1.83
"1608" 5 0.926004
"1610" 1 0.75
"1612" 1 0.83682
"1614" 2 0.40921
"1619" 3 1.37150666666667
"1620" 3 2.72082333333333
"1626" 1 0.06438
"1630" 1 0.04096
"1632" 8 0.82327
"1636" 1 7.25
"1637" 1 1.89166
"1640" 2 2.79967
"1641" 2 2.662525
"1642" 1 9.54923
"1651" 2 2.624565
"1652" 1 0.88468
"1653" 1 2.59759
"1655" 2 2.59539
"1667" 7 0.9331
"1668" 2 0.582295
"1670" 1 0.53021
"1673" 2 0.887805
"1687" 5 2.826368
"1688" 3 1.93187333333333
"1689" 2 0.380275
"1697" 1 0.60533
"1698" 1 0.46185
"1701" 1 3.13476
"1702" 1 1.38068
"1703" 1 0.3
"1704" 5 0.812078
"1705" 1 0.88457
"1709" 2 0.864585
"1714" 1 0.14509
"1721" 3 4.19616666666667
"1729" 1 0.07
"1737" 2 1.42568
"1741" 1 1.39382
"1742" 2 0.488365
"1744" 1 0.70885
