"num.claims" "av.claimsize"
"4385" 1 3.38649
"4387" 1 1.5
"4388" 1 5.75
"4394" 1 8.61028
"4396" 3 3.48559
"4398" 1 3.7382
"4401" 1 0.46793
"4408" 1 0.09658
"4409" 1 0.60086
"4416" 1 1.11688
"4417" 1 0.25984
"4461" 1 2.61553
"4464" 1 0.59573
"4469" 3 1.59568333333333
"4473" 1 3.69285
"4477" 2 0.553975
"4480" 2 3.44015
"4487" 1 1.123
"4489" 1 0.18
"4490" 1 0.27202
"4491" 3 0.356303333333333
"4495" 3 1.62162333333333
"4498" 3 0.439443333333333
"4504" 4 3.01797
"4505" 1 0.86444
"4513" 1 6.29857
"4514" 1 3.6
"4520" 3 2.21758666666667
"4524" 1 0.03836
"4528" 2 0.44892
"4529" 1 5.8
"4535" 1 5.081
"4536" 1 0.062
"4539" 2 0.77393
"4543" 1 4.27585
"4545" 1 0.4444
"4551" 2 5.041195
"4553" 2 0.691585
"4554" 3 0.903743333333333
"4558" 2 2.52934
"4563" 3 0.579853333333333
"4564" 2 4.90193
"4571" 2 0.189355
"4572" 2 0.78352
"4573" 3 2.27245333333333
"4574" 1 0.25
"4576" 2 2.75537
"4580" 1 0.49992
"4583" 1 0.18204
"4584" 3 1.33344333333333
"4591" 3 3.36041333333333
"4595" 3 0.08728
"4596" 4 1.9386825
"4597" 3 2.70557666666667
"4601" 1 0.11157
"4603" 2 0.664995
"4604" 3 1.44907666666667
"4611" 2 0.624515
"4612" 1 2.12861
"4616" 2 1.6517
"4619" 2 0.139475
"4620" 1 0.50325
"4621" 6 0.413118333333333
"4625" 1 0.55174
"4626" 1 11.49
"4627" 3 5.45387666666667
"4636" 1 2.37107
"4638" 1 0.72009
"4639" 1 1.20965
"4640" 1 1.59593
"4643" 2 1.041225
"4645" 2 0.35757
"4646" 1 0.70188
"4656" 1 0.26304
"4657" 3 1.62758
"4660" 1 3.8301
"4662" 3 0.236726666666667
"4666" 1 0.99694
"4667" 1 0.53314
"4675" 4 2.6586275
"4676" 1 0.92609
"4677" 1 0.05909
"4683" 1 0.44668
"4684" 2 3.461735
"4687" 1 0.49513
"4688" 1 0.84967
"4689" 1 1.01512
"4691" 2 0.83142
"4692" 1 0.24888
"4693" 3 0.631026666666667
"4696" 1 3
"4697" 1 0.65561
"4698" 5 3.511752
"4704" 1 0.30757
"4705" 5 2.787292
"4706" 1 6.911
"4707" 1 5.45
"4711" 4 3.785275
"4713" 1 4
"4717" 2 1.72151
"4718" 1 0.41024
"4719" 1 0.27506
"4720" 1 0.80977
"4722" 1 1.28049
"4730" 1 1.02654
"4731" 3 1.11628666666667
"4732" 2 0.75608
"4734" 1 0.23664
"4735" 1 5.55332
"4739" 1 0.09669
"4746" 2 4.38069
"4747" 2 1.148055
"4748" 2 2.100045
"4749" 2 3.11758
"4750" 1 5.41
"4754" 2 0.37033
"4755" 1 9.19537
"4760" 2 0.37804
"4764" 2 0.66333
"4766" 5 1.84579
"4772" 1 0.07851
"4774" 2 0.20041
"4776" 1 7.57
"4783" 3 3.1192
"4785" 2 0.32145
"4792" 2 1.90901
"4796" 1 4.00493
"4797" 1 4.53728
"4799" 1 0.59824
"4802" 3 1.26323333333333
"4803" 2 1.477555
"4804" 1 0.64416
"4807" 2 1.109185
"4808" 1 2.7183
"4811" 1 3.57876
"4812" 2 2.02864
"4814" 1 0.30625
"4817" 3 2.37816
"4818" 1 3.31443
"4819" 2 2.41452
"4820" 1 3.77327
"4823" 1 0.2718
"4825" 1 4
"4828" 1 0.44201
"4830" 1 8.54
"4834" 2 0.814485
"4835" 1 3.78511
"4836" 4 0.448595
"4837" 1 5.95
"4845" 1 3.20126
"4858" 1 7.35
"4860" 1 0.26158
"4862" 1 0.3
"4863" 1 0.26199
"4868" 1 0.63409
"4870" 1 2.92566
"4871" 1 5.60453
"4872" 1 1.86084
"4878" 3 1.93721
"4898" 1 2.03972
"4899" 2 1.926975
"4913" 3 2.91113666666667
"4919" 1 0.59061
"4926" 1 1.15883
"4937" 2 2.719255
"4938" 1 0.52587
"4945" 1 8.45
"4951" 2 3.080995
"4962" 1 0.59623
"4973" 2 0.47171
"4975" 2 4.095835
"4978" 1 7.85
"4979" 1 8.40647
"4982" 1 1.37044
"4983" 1 0.75034
"4993" 1 2.43901
"4994" 1 7.05565
"4998" 1 0.03796
"5000" 1 5.07096
"5013" 1 0.24287
"5018" 1 0.16159
"5020" 1 0.19418
"5021" 1 0.0145
"5025" 1 0.19435
"5027" 2 1.1458
"5057" 1 0.15
"5060" 1 3.38862
"5061" 1 3.86127
"5063" 2 1.631245
"5066" 1 2.38443
"5084" 1 2.6204
"5091" 1 0.68778
"5092" 1 0.47784
"5097" 1 5
"5098" 1 0.08688
"5126" 1 0.64208
"5135" 1 1.8788
"5140" 1 0.72042
"5149" 1 0.44936
"5150" 2 1.74328
"5152" 1 2.44674
"5156" 1 3.72949
"5179" 1 0.69884
"5193" 1 6.25281
"5195" 1 5.47894
"5201" 1 3.12285
"5210" 2 3.529905
"5227" 1 6.3
"5230" 1 2.19226
"5233" 1 0.07452
"5235" 1 8.171
"5236" 1 1.78808
"5238" 1 0.39092
"5253" 1 0.70074
"5254" 1 3.42949
"5257" 1 0.174
"5265" 1 2.02725
"5269" 1 1.5
"5271" 1 3.17781
"5273" 1 0.59262
"5278" 1 4.60195
"5280" 1 5.73554
"5282" 1 2.09865
"5283" 1 4.11819
"5287" 1 9.68054
"5289" 1 4.50543
"5294" 1 5.5
"5297" 1 7
"5298" 1 5.38982
"5305" 1 2.75961
"5306" 1 7.75
"5307" 1 20.22174
"5309" 1 8.42667
"5314" 1 0.73233
"5326" 1 1.13953
"5341" 1 0.14923
"5342" 2 2.66565
"5344" 1 1.518
"5356" 1 0.24427
"5362" 1 1.14295
"5367" 1 0.15
"5368" 1 0.05948
"5375" 1 5.65938
"5380" 1 1.5
"5389" 1 3.39838
"5408" 1 1.20844
"5413" 1 1.01068
"5415" 1 8
"5430" 1 2.92997
"5432" 1 0.24031
"5454" 1 1.692
"5480" 1 0.88647
"5487" 1 0.37384
"5495" 1 0.44507
"5507" 3 0.813213333333333
"5537" 1 2.08879
"5544" 1 1.05642
"5555" 2 0.46245
"5556" 1 3.43529
"5565" 1 2.20371
"5572" 1 0.6841
"5590" 1 0.99826
"5592" 3 1.24934333333333
"5603" 3 1.85494666666667
"5618" 1 0.43386
"5621" 1 0.16571
"5623" 1 10.05376
"5626" 3 0.85896
"5645" 1 5.20603
"5649" 1 0.53595
"5654" 1 0.78348
"5664" 1 0.23969
"5676" 1 5.50509
"5691" 1 0.77355
"5694" 1 5.03742
"5696" 1 1.70892
"5714" 1 7.05
"5741" 1 3.41893
"5743" 1 0.17713
"5747" 1 2.99617
"5749" 1 2
"5766" 1 3.35
"5769" 1 0.0571
"5776" 1 6.87074
"5782" 1 5.30716
"5787" 1 0.9939
"5791" 1 4.32645
"5792" 1 1.16392
"5806" 1 0.96555
"5809" 1 0.61
"5822" 1 4.83
"5826" 1 13.1195
"5854" 1 0.70896
"5858" 2 2.969195
"5869" 1 1.85343
"5906" 1 0.20866
"5933" 1 1.47897
"5945" 1 11.55
"5951" 1 0.09819
"5954" 2 2.954255
"5960" 1 0.68638
"5967" 1 0.52764
"5973" 1 0.42442
"5979" 1 1.48082
"5983" 1 0.16581
"5996" 1 3.85222
"6000" 1 0.38188
"6014" 2 0.43828
"6029" 1 0.57451
"6030" 1 0.00097
"6036" 1 0.36526
"6042" 1 0.95282
"6046" 1 3.49887
"6049" 1 3.33771
"6074" 1 0.58024
"6097" 1 7
"6106" 1 2.98628
"6111" 1 1.04438
"6120" 1 0.15064
"6124" 1 15.268
"6125" 1 1.47248
"6136" 1 0.05007
"6144" 1 1.585
"6161" 1 0.54622
"6168" 2 1.554295
"6170" 1 3.6954
"6173" 1 1.45125
"6178" 1 4.2
"6188" 1 15.6
"6191" 1 0.6655
"6197" 1 0.07685
"6202" 1 0.145
"6213" 1 0.7969
"6218" 1 0.20692
"6221" 1 1.2225
"6222" 1 0.54759
"6223" 1 0.9842
"6234" 3 3.50425333333333
"6235" 1 4.82258
"6239" 1 0.77141
"6243" 2 4.68532
"6249" 1 0.30569
"6250" 2 4.326755
"6256" 1 0.23812
"6263" 1 5.05
"6268" 1 5
"6269" 1 3.02424
"6272" 1 0.2488
"6287" 1 9.85985
"6290" 1 8.94371
"6303" 1 0.63452
"6310" 1 0.15
"6319" 1 0.39484
"6321" 1 0.80916
"6344" 1 5
"6348" 2 0.325315
"6366" 1 0.87209
"6370" 1 0.60093
"6376" 1 0.82786
"6392" 1 4.87965
"6395" 1 0.04525
"6398" 1 0.99518
"6403" 1 0.21278
"6410" 1 0.149
"6416" 1 0.83752
"6422" 1 1.12022
"6434" 1 0.72347
"6437" 1 0.59581
"6440" 1 0.62728
"6444" 1 1.93208
"6445" 2 0.7143
"6446" 1 0.97008
"6477" 1 0.0377
"6485" 1 0.14894
"6498" 1 0.77059
"6504" 1 0.75038
"6506" 1 16.4014
"6525" 1 0.09651
"6528" 1 1.564
"6542" 1 0.59911
